"station","valid","tmpf","relh","datetime","date","hour","year","month","doy","temp_c"
"TUS","2016-05-01 00:53",59,37.46,2016-05-01 00:53:00,2016-05-01,0,2016,5,122,15
"TUS","2016-05-01 01:53",58,40.37,2016-05-01 01:53:00,2016-05-01,1,2016,5,122,14.4444444444444
"TUS","2016-05-01 02:53",56,41.82,2016-05-01 02:53:00,2016-05-01,2,2016,5,122,13.3333333333333
"TUS","2016-05-01 03:53",56,45.26,2016-05-01 03:53:00,2016-05-01,3,2016,5,122,13.3333333333333
"TUS","2016-05-01 04:53",55,48.47,2016-05-01 04:53:00,2016-05-01,4,2016,5,122,12.7777777777778
"TUS","2016-05-01 05:53",55,50.58,2016-05-01 05:53:00,2016-05-01,5,2016,5,122,12.7777777777778
"TUS","2016-05-01 06:53",57,47.08,2016-05-01 06:53:00,2016-05-01,6,2016,5,122,13.8888888888889
"TUS","2016-05-01 07:53",61,40.86,2016-05-01 07:53:00,2016-05-01,7,2016,5,122,16.1111111111111
"TUS","2016-05-01 08:53",64,36.68,2016-05-01 08:53:00,2016-05-01,8,2016,5,122,17.7777777777778
"TUS","2016-05-01 09:53",65,35.55,2016-05-01 09:53:00,2016-05-01,9,2016,5,122,18.3333333333333
"TUS","2016-05-01 10:53",66,32.81,2016-05-01 10:53:00,2016-05-01,10,2016,5,122,18.8888888888889
"TUS","2016-05-01 11:53",69,27.29,2016-05-01 11:53:00,2016-05-01,11,2016,5,122,20.5555555555556
"TUS","2016-05-01 12:53",69,27.29,2016-05-01 12:53:00,2016-05-01,12,2016,5,122,20.5555555555556
"TUS","2016-05-01 13:53",71,25.5,2016-05-01 13:53:00,2016-05-01,13,2016,5,122,21.6666666666667
"TUS","2016-05-01 14:53",73,23.85,2016-05-01 14:53:00,2016-05-01,14,2016,5,122,22.7777777777778
"TUS","2016-05-01 15:53",76,20.89,2016-05-01 15:53:00,2016-05-01,15,2016,5,122,24.4444444444444
"TUS","2016-05-01 16:53",75,21.53,2016-05-01 16:53:00,2016-05-01,16,2016,5,122,23.8888888888889
"TUS","2016-05-01 17:53",75,22.32,2016-05-01 17:53:00,2016-05-01,17,2016,5,122,23.8888888888889
"TUS","2016-05-01 18:53",72,25.82,2016-05-01 18:53:00,2016-05-01,18,2016,5,122,22.2222222222222
"TUS","2016-05-01 19:53",70,28.63,2016-05-01 19:53:00,2016-05-01,19,2016,5,122,21.1111111111111
