"station","valid","tmpf","relh","datetime","date","hour","year","month","doy","temp_c"
"AVQ","2016-05-01 00:55",55.22,57.84,2016-05-01 00:55:00,2016-05-01,0,2016,5,122,12.9
"AVQ","2016-05-01 01:55",56.48,52.25,2016-05-01 01:55:00,2016-05-01,1,2016,5,122,13.6
"AVQ","2016-05-01 02:55",56.12,49.68,2016-05-01 02:55:00,2016-05-01,2,2016,5,122,13.4
"AVQ","2016-05-01 03:55",54.5,53.82,2016-05-01 03:55:00,2016-05-01,3,2016,5,122,12.5
"AVQ","2016-05-01 04:55",56.48,51.52,2016-05-01 04:55:00,2016-05-01,4,2016,5,122,13.6
"AVQ","2016-05-01 05:55",55.76,46.55,2016-05-01 05:55:00,2016-05-01,5,2016,5,122,13.2
"AVQ","2016-05-01 06:55",59.36,42.68,2016-05-01 06:55:00,2016-05-01,6,2016,5,122,15.2
"AVQ","2016-05-01 07:55",63.14,39.78,2016-05-01 07:55:00,2016-05-01,7,2016,5,122,17.3
"AVQ","2016-05-01 08:55",65.66,38,2016-05-01 08:55:00,2016-05-01,8,2016,5,122,18.7
"AVQ","2016-05-01 09:55",67.82,32.63,2016-05-01 09:55:00,2016-05-01,9,2016,5,122,19.9
"AVQ","2016-05-01 10:55",69,30.16,2016-05-01 10:55:00,2016-05-01,10,2016,5,122,20.5555555555556
"AVQ","2016-05-01 11:55",70.7,26.57,2016-05-01 11:55:00,2016-05-01,11,2016,5,122,21.5
"AVQ","2016-05-01 12:55",71.78,28.7,2016-05-01 12:55:00,2016-05-01,12,2016,5,122,22.1
"AVQ","2016-05-01 13:55",73.58,25.52,2016-05-01 13:55:00,2016-05-01,13,2016,5,122,23.1
"AVQ","2016-05-01 14:55",73.58,23.93,2016-05-01 14:55:00,2016-05-01,14,2016,5,122,23.1
"AVQ","2016-05-01 15:55",75.74,22.58,2016-05-01 15:55:00,2016-05-01,15,2016,5,122,24.3
"AVQ","2016-05-01 16:55",75.38,22.69,2016-05-01 16:55:00,2016-05-01,16,2016,5,122,24.1
"AVQ","2016-05-01 17:55",74.12,24.36,2016-05-01 17:55:00,2016-05-01,17,2016,5,122,23.4
"AVQ","2016-05-01 18:55",72.86,25.96,2016-05-01 18:55:00,2016-05-01,18,2016,5,122,22.7
"AVQ","2016-05-01 19:55",68.72,30.75,2016-05-01 19:55:00,2016-05-01,19,2016,5,122,20.4
"AVQ","2016-05-01 20:55",67,33.19,2016-05-01 20:55:00,2016-05-01,20,2016,5,122,19.4444444444444
"AVQ","2016-05-01 21:55",66.74,31.77,2016-05-01 21:55:00,2016-05-01,21,2016,5,122,19.3
"AVQ","2016-05-01 22:55",63.32,35.79,2016-05-01 22:55:00,2016-05-01,22,2016,5,122,17.4
"AVQ","2016-05-01 23:55",61,40.29,2016-05-01 23:55:00,2016-05-01,23,2016,5,122,16.1111111111111
"AVQ","2016-05-02 00:55",59.36,40.6,2016-05-02 00:55:00,2016-05-02,0,2016,5,123,15.2
"AVQ","2016-05-02 01:55",57.56,43.31,2016-05-02 01:55:00,2016-05-02,1,2016,5,123,14.2
"AVQ","2016-05-02 02:55",55,49.52,2016-05-02 02:55:00,2016-05-02,2,2016,5,123,12.7777777777778
"AVQ","2016-05-02 03:55",55.76,51.78,2016-05-02 03:55:00,2016-05-02,3,2016,5,123,13.2
"AVQ","2016-05-02 04:55",54.68,49.11,2016-05-02 04:55:00,2016-05-02,4,2016,5,123,12.6
"AVQ","2016-05-02 05:55",55.22,47.47,2016-05-02 05:55:00,2016-05-02,5,2016,5,123,12.9
"AVQ","2016-05-02 06:55",58.64,40.77,2016-05-02 06:55:00,2016-05-02,6,2016,5,123,14.8
"AVQ","2016-05-02 07:55",65.12,31.97,2016-05-02 07:55:00,2016-05-02,7,2016,5,123,18.4
"AVQ","2016-05-02 08:55",71.24,24.81,2016-05-02 08:55:00,2016-05-02,8,2016,5,123,21.8
"AVQ","2016-05-02 09:55",74.84,21.19,2016-05-02 09:55:00,2016-05-02,9,2016,5,123,23.8
"AVQ","2016-05-02 10:55",77.72,18.71,2016-05-02 10:55:00,2016-05-02,10,2016,5,123,25.4
"AVQ","2016-05-02 11:55",79.88,16.2,2016-05-02 11:55:00,2016-05-02,11,2016,5,123,26.6
"AVQ","2016-05-02 12:55",81.86,13.49,2016-05-02 12:55:00,2016-05-02,12,2016,5,123,27.7
"AVQ","2016-05-02 13:55",83.3,12.32,2016-05-02 13:55:00,2016-05-02,13,2016,5,123,28.5
"AVQ","2016-05-02 14:55",84,11.77,2016-05-02 14:55:00,2016-05-02,14,2016,5,123,28.8888888888889
"AVQ","2016-05-02 15:55",85.46,11.15,2016-05-02 15:55:00,2016-05-02,15,2016,5,123,29.7
"AVQ","2016-05-02 16:55",85,11.03,2016-05-02 16:55:00,2016-05-02,16,2016,5,123,29.4444444444444
"AVQ","2016-05-02 17:55",84.2,11.44,2016-05-02 17:55:00,2016-05-02,17,2016,5,123,29
"AVQ","2016-05-02 18:55",80.42,15.8,2016-05-02 18:55:00,2016-05-02,18,2016,5,123,26.9
"AVQ","2016-05-02 19:55",74.48,20.99,2016-05-02 19:55:00,2016-05-02,19,2016,5,123,23.6
"AVQ","2016-05-02 20:55",72.5,21.79,2016-05-02 20:55:00,2016-05-02,20,2016,5,123,22.5
"AVQ","2016-05-02 21:55",71.6,21.66,2016-05-02 21:55:00,2016-05-02,21,2016,5,123,22
"AVQ","2016-05-02 22:55",69.44,23.48,2016-05-02 22:55:00,2016-05-02,22,2016,5,123,20.8
"AVQ","2016-05-02 23:55",67.28,25.29,2016-05-02 23:55:00,2016-05-02,23,2016,5,123,19.6
"AVQ","2016-05-03 00:55",65.3,25.36,2016-05-03 00:55:00,2016-05-03,0,2016,5,124,18.5
"AVQ","2016-05-03 01:55",63.32,27.38,2016-05-03 01:55:00,2016-05-03,1,2016,5,124,17.4
"AVQ","2016-05-03 02:55",60,32.77,2016-05-03 02:55:00,2016-05-03,2,2016,5,124,15.5555555555556
"AVQ","2016-05-03 03:55",60.26,31.65,2016-05-03 03:55:00,2016-05-03,3,2016,5,124,15.7
"AVQ","2016-05-03 04:55",58,36.75,2016-05-03 04:55:00,2016-05-03,4,2016,5,124,14.4444444444444
"AVQ","2016-05-03 05:55",57,34.52,2016-05-03 05:55:00,2016-05-03,5,2016,5,124,13.8888888888889
"AVQ","2016-05-03 06:55",61.34,33.24,2016-05-03 06:55:00,2016-05-03,6,2016,5,124,16.3
"AVQ","2016-05-03 07:55",69.44,24.89,2016-05-03 07:55:00,2016-05-03,7,2016,5,124,20.8
"AVQ","2016-05-03 08:55",73.58,20.11,2016-05-03 08:55:00,2016-05-03,8,2016,5,124,23.1
"AVQ","2016-05-03 09:55",77.54,16.86,2016-05-03 09:55:00,2016-05-03,9,2016,5,124,25.3
"AVQ","2016-05-03 10:55",81.32,15.01,2016-05-03 10:55:00,2016-05-03,10,2016,5,124,27.4
"AVQ","2016-05-03 11:55",84.38,13.39,2016-05-03 11:55:00,2016-05-03,11,2016,5,124,29.1
"AVQ","2016-05-03 12:55",86.36,11.94,2016-05-03 12:55:00,2016-05-03,12,2016,5,124,30.2
"AVQ","2016-05-03 13:55",87.44,11.62,2016-05-03 13:55:00,2016-05-03,13,2016,5,124,30.8
"AVQ","2016-05-03 14:55",89.24,10.73,2016-05-03 14:55:00,2016-05-03,14,2016,5,124,31.8
"AVQ","2016-05-03 15:55",89.78,9.87,2016-05-03 15:55:00,2016-05-03,15,2016,5,124,32.1
"AVQ","2016-05-03 16:55",89.78,8.95,2016-05-03 16:55:00,2016-05-03,16,2016,5,124,32.1
"AVQ","2016-05-03 17:55",89.42,8.2,2016-05-03 17:55:00,2016-05-03,17,2016,5,124,31.9
"AVQ","2016-05-03 18:55",86.18,11.06,2016-05-03 18:55:00,2016-05-03,18,2016,5,124,30.1
"AVQ","2016-05-03 19:55",79.34,13.91,2016-05-03 19:55:00,2016-05-03,19,2016,5,124,26.3
"AVQ","2016-05-03 20:55",75.2,16.81,2016-05-03 20:55:00,2016-05-03,20,2016,5,124,24
"AVQ","2016-05-03 21:55",76,14.47,2016-05-03 21:55:00,2016-05-03,21,2016,5,124,24.4444444444444
"AVQ","2016-05-03 22:55",73.4,17.72,2016-05-03 22:55:00,2016-05-03,22,2016,5,124,23
"AVQ","2016-05-03 23:55",68.72,19.87,2016-05-03 23:55:00,2016-05-03,23,2016,5,124,20.4
"AVQ","2016-05-04 00:55",65.84,22.95,2016-05-04 00:55:00,2016-05-04,0,2016,5,125,18.8
"AVQ","2016-05-04 01:55",68,20.52,2016-05-04 01:55:00,2016-05-04,1,2016,5,125,20
"AVQ","2016-05-04 02:55",68,21.61,2016-05-04 02:55:00,2016-05-04,2,2016,5,125,20
"AVQ","2016-05-04 03:55",65.48,22.72,2016-05-04 03:55:00,2016-05-04,3,2016,5,125,18.6
"AVQ","2016-05-04 04:55",63.5,24.72,2016-05-04 04:55:00,2016-05-04,4,2016,5,125,17.5
"AVQ","2016-05-04 05:55",63.32,23.96,2016-05-04 05:55:00,2016-05-04,5,2016,5,125,17.4
"AVQ","2016-05-04 06:55",67.82,21.27,2016-05-04 06:55:00,2016-05-04,6,2016,5,125,19.9
"AVQ","2016-05-04 07:55",79.52,13.72,2016-05-04 07:55:00,2016-05-04,7,2016,5,125,26.4
"AVQ","2016-05-04 08:55",87,10.75,2016-05-04 08:55:00,2016-05-04,8,2016,5,125,30.5555555555556
