"quartile","mean","sd","se","n","variable","var_label"
"Q1 (lowest)",36.65,0.55,0.04,148,"mean_tmax","Mean summer tmax (C)"
"Q2",36.93,0.38,0.03,147,"mean_tmax","Mean summer tmax (C)"
"Q3",36.95,0.19,0.02,147,"mean_tmax","Mean summer tmax (C)"
"Q4 (highest)",36.81,0.24,0.02,148,"mean_tmax","Mean summer tmax (C)"
"Q1 (lowest)",88366.36,37792.25,3106.5,148,"med_income","Median income ($)"
"Q2",88417.27,41501.95,3423.02,147,"med_income","Median income ($)"
"Q3",62312.1,25739.15,2122.93,147,"med_income","Median income ($)"
"Q4 (highest)",56778.58,20587.73,1692.3,148,"med_income","Median income ($)"
"Q1 (lowest)",0.37,0.24,0.02,148,"pct_minority","Minority (%)"
"Q2",0.39,0.21,0.02,147,"pct_minority","Minority (%)"
"Q3",0.48,0.19,0.02,147,"pct_minority","Minority (%)"
"Q4 (highest)",0.67,0.22,0.02,148,"pct_minority","Minority (%)"
"Q1 (lowest)",0.33,0.23,0.02,148,"pct_renter","Renter (%)"
"Q2",0.26,0.17,0.01,147,"pct_renter","Renter (%)"
"Q3",0.32,0.17,0.01,147,"pct_renter","Renter (%)"
"Q4 (highest)",0.28,0.11,0.01,148,"pct_renter","Renter (%)"
"Q1 (lowest)",0.19,0.04,0,148,"mean_ndvi","Mean NDVI"
"Q2",0.19,0.04,0,147,"mean_ndvi","Mean NDVI"
"Q3",0.16,0.03,0,147,"mean_ndvi","Mean NDVI"
"Q4 (highest)",0.15,0.02,0,148,"mean_ndvi","Mean NDVI"
