"year","season","failure_days","total_failure_hours","longest_streak"
2016,"Monsoon",35,185,12
2016,"Pre-monsoon",7,26,4
2018,"Monsoon",38,221,23
2018,"Pre-monsoon",1,1,1
2019,"Monsoon",50,236,21
2019,"Pre-monsoon",3,14,3
2020,"Monsoon",43,240,11
2020,"Pre-monsoon",1,1,1
2021,"Monsoon",41,229,10
2021,"Pre-monsoon",8,36,7
2022,"Monsoon",55,271,16
2022,"Pre-monsoon",9,24,4
2023,"Monsoon",58,423,36
2023,"Pre-monsoon",4,15,4
2024,"Monsoon",62,366,41
2024,"Pre-monsoon",12,86,11
2025,"Monsoon",42,226,11
2025,"Pre-monsoon",5,17,2
