"year","season","failure_days","total_failure_hours","longest_streak"
2016,"Monsoon",24,102,12
2016,"Pre-monsoon",7,30,4
2017,"Monsoon",5,15,2
2017,"Pre-monsoon",7,31,7
2018,"Monsoon",18,85,13
2018,"Pre-monsoon",0,0,0
2019,"Monsoon",16,55,5
2019,"Pre-monsoon",0,0,0
2020,"Monsoon",2,5,1
2020,"Pre-monsoon",0,0,0
2021,"Monsoon",32,189,8
2021,"Pre-monsoon",6,37,6
2022,"Monsoon",35,181,15
2022,"Pre-monsoon",7,19,4
2023,"Monsoon",52,340,35
2023,"Pre-monsoon",3,4,2
2024,"Monsoon",43,272,32
2024,"Pre-monsoon",0,0,0
2025,"Monsoon",60,371,18
2025,"Pre-monsoon",4,18,2
