"eta","ssp","period","median","p10","p90","label"
0.5,"ssp245","historical",116.2,115.4,116.9,"116.2 [115.4-116.9]"
0.5,"ssp245","near",118.8,117.4,120.2,"118.8 [117.4-120.2]"
0.5,"ssp245","mid",119.6,119.5,119.6,"119.6 [119.5-119.6]"
0.5,"ssp245","far",119.7,118.7,120.7,"119.7 [118.7-120.7]"
0.5,"ssp585","historical",115.7,115.3,116.1,"115.7 [115.3-116.1]"
0.5,"ssp585","near",117.9,117,118.8,"117.9 [117-118.8]"
0.5,"ssp585","mid",119.8,119.6,119.9,"119.8 [119.6-119.9]"
0.5,"ssp585","far",121.2,120.7,121.6,"121.2 [120.7-121.6]"
0.6,"ssp245","historical",111,110.9,111,"111 [110.9-111]"
0.6,"ssp245","near",115.4,113.2,117.6,"115.4 [113.2-117.6]"
0.6,"ssp245","mid",116.8,116,117.5,"116.8 [116-117.5]"
0.6,"ssp245","far",117.6,115.9,119.3,"117.6 [115.9-119.3]"
0.6,"ssp585","historical",110.4,110,110.8,"110.4 [110-110.8]"
0.6,"ssp585","near",112.9,111.5,114.4,"112.9 [111.5-114.4]"
0.6,"ssp585","mid",116.9,116.3,117.6,"116.9 [116.3-117.6]"
0.6,"ssp585","far",120.2,120,120.5,"120.2 [120-120.5]"
0.7,"ssp245","historical",96.4,95.7,97.1,"96.4 [95.7-97.1]"
0.7,"ssp245","near",105.7,103.5,107.8,"105.7 [103.5-107.8]"
0.7,"ssp245","mid",108.8,105.4,112.2,"108.8 [105.4-112.2]"
0.7,"ssp245","far",111.8,110,113.6,"111.8 [110-113.6]"
0.7,"ssp585","historical",95.7,94.3,97,"95.7 [94.3-97]"
0.7,"ssp585","near",103.2,99.8,106.6,"103.2 [99.8-106.6]"
0.7,"ssp585","mid",110.8,107.9,113.6,"110.8 [107.9-113.6]"
0.7,"ssp585","far",117.1,116.5,117.7,"117.1 [116.5-117.7]"
0.8,"ssp245","historical",68.8,66.1,71.4,"68.8 [66.1-71.4]"
0.8,"ssp245","near",83.3,79.5,87.1,"83.3 [79.5-87.1]"
0.8,"ssp245","mid",91,83.7,98.4,"91 [83.7-98.4]"
0.8,"ssp245","far",99.7,96,103.3,"99.7 [96-103.3]"
0.8,"ssp585","historical",68.1,65.9,70.2,"68.1 [65.9-70.2]"
0.8,"ssp585","near",82.5,77.5,87.5,"82.5 [77.5-87.5]"
0.8,"ssp585","mid",95.8,91.8,99.8,"95.8 [91.8-99.8]"
0.8,"ssp585","far",109.2,106.1,112.4,"109.2 [106.1-112.4]"
